Model,AUROC,AUPRC,Brier
M1_Logistic_macro_lag1,0.8761140819964349,0.2850440619496221,0.21180985325679863
M2_RandomForest_macro_lag123,0.9465240641711229,0.5607036504165691,0.05057648932136534
M3_XGBoost_sent_rolling,0.9373885918003565,0.6279857397504456,0.06953256911470582
