,AUROC,AUPRC,Brier,base_rate,n_events
H1_1yr,0.463235294117647,0.08870967741935484,0.05720591737339085,0.05116279069767442,11.0
H2_2yr,0.9373885918003565,0.6279857397504456,0.06953256911470582,0.05116279069767442,11.0
H3_3yr,0.9594474153297683,0.5770127851946034,0.080577639527029,0.05116279069767442,11.0
