Model,Stage,Events,AUROC,AUPRC,Brier,AUROC_CI_low,AUROC_CI_high,AUPRC_CI_low,AUPRC_CI_high,AUPRC_lift
"EBM M2.5 (macro lag1-3, 1988-2020)",S1,37,0.7528473804100227,0.2724735145062645,0.0637463934394696,0.6489847533442806,0.8487145501936134,0.1537996982748795,0.46999481141831073,4.190200804163905
"EBM M2.5-matched (macro lag1-3, 2003-2020)",S2,26,0.9598930481283422,0.5320111690345357,0.06724697339837338,0.9268213113106406,0.9880962012636769,0.264672392124005,0.8273626373626374,6.5273678046929575
