Model,Stage,Events,AUROC,AUPRC,Brier,AUPRC_lift
"M1 Logistic (macro lag1, 1988–2020)",S1,37,0.6063293198828505,0.13870135882489965,0.15734347879822458,2.133001977604538
"M1b LR bridge (macro lag1-3, 1988–2020)",S1,37,0.6454604620891637,0.14539479453616666,0.13547699796506238,2.235936164623752
"M2 Random Forest (macro lag1-3, 1988–2020)",S1,37,0.6358607224210868,0.22422336658655317,0.05946843303263091,3.448191772641858
"M2-matched RF (macro lag1-3, 2003–2020)",S2,26,0.9385026737967914,0.3427537516247193,0.06017525083605184,4.205324875703288
"M3 XGBoost+FinBERT (macro+sent, 2003–2020)",S2,26,0.9315953654188949,0.41104604087558627,0.06075631525596896,5.043218732281232
