Stage,Model,AUROC,AUROC_CI_lo,AUROC_CI_hi,AUPRC,AUPRC_CI_lo,AUPRC_CI_hi,Brier,AUPRC_lift
S1,M1 Logistic (macro lag1),0.6063293198828505,0.4770940376658438,0.7389157091549262,0.13870135882489965,0.0698354297475821,0.28931780956783176,0.15734347879822455,2.133001977604538
S1,M2 RF (macro lag1-3),0.6358607224210868,0.48407828282828275,0.7814867785405544,0.22422336658655317,0.11057916882235008,0.40705341746128026,0.05946843303263092,3.448191772641858
S1,EBM M2.5 (macro lag1-3),0.7528473804100227,0.6455618805536568,0.8550778172743817,0.2724735145062645,0.14476876225558277,0.4581733638524348,0.0637463934394696,4.190200804163905
S2,M2-matched RF (2003–2020),0.9385026737967914,0.8965909090909091,0.9704967632986209,0.3427537516247193,0.19863589478637503,0.6190615967795444,0.06017525083605182,4.205324875703288
S2,EBM M2.5-matched (2003–2020),0.9598930481283422,0.9273137579919488,0.9866765432700906,0.5320111690345357,0.2777730082417582,0.819851147714833,0.06724697339837336,6.5273678046929575
S2,M3 XGB+FinBERT (2003–2020),0.9315953654188949,0.8752894000069342,0.979481884057971,0.41104604087558627,0.21381500542800855,0.7336583508928978,0.06075631525596895,5.043218732281232
