Stage,Model,AUROC,AUPRC,Brier
S1,M1 Logistic (macro lag1),0.6063293198828505,0.13870135882489965,0.15734347879822455
S1,M2 RF (macro lag1-3),0.6358607224210868,0.22422336658655317,0.05946843303263092
S2,M2-matched RF (2003–2020),0.9385026737967914,0.3427537516247193,0.06017525083605182
S2,M3 XGB+FinBERT (2003–2020),0.9315953654188949,0.41104604087558627,0.06075631525596895
