comparison,point,ci_lo,ci_hi,verdict
M3 XGB+FinBERT − M2-matched RF,0.06829228925086694,-0.12948050822822169,0.31208369956018533,Directional but CI includes zero
EBM M2.5 − M2-matched RF,0.1892574174098164,-0.028948877229634355,0.39780580340730587,Directional but CI includes zero
M3 XGB+FinBERT − EBM M2.5,-0.12096512815894944,-0.28067372557997566,0.08073004501165063,Directional but CI includes zero
