sentiment,country,lag,p_value
P_neg_lag1_rdm,DEU,2,0.08383009225654214
P_neg_lag1_rdm,DNK,1,0.0025046383176866517
P_neg_lag1_rdm,DNK,2,0.007031902578658639
P_neg_lag1_rdm,ESP,1,0.24206446969300754
P_neg_lag1_rdm,ESP,2,0.04765327186220511
P_neg_lag1_rdm,FRA,1,0.34880574399476005
P_neg_lag1_rdm,FRA,2,0.13491134893453932
P_neg_lag1_rdm,GBR,1,0.8960303474349868
P_neg_lag1_rdm,GBR,2,0.7085820631453313
P_neg_lag1_rdm,IRL,1,0.9943026194983926
P_neg_lag1_rdm,IRL,2,0.8078486081998634
P_neg_lag1_rdm,ITA,1,0.2650790945865174
P_neg_lag1_rdm,ITA,2,0.2531159969828587
P_neg_lag1_rdm,NLD,1,0.37290286972622294
P_neg_lag1_rdm,NLD,2,0.6140347800729147
P_neg_lag1_rdm,PRT,1,0.9600151403615621
P_neg_lag1_rdm,PRT,2,0.9873828771403856
P_neg_lag1_rdm,SWE,1,0.15040725626035972
P_neg_lag1_rdm,SWE,2,0.4491997363450295
P_neg_lag1_rdm,USA,1,0.709856892312779
P_neg_lag1_rdm,USA,2,0.9509911733272146
net_sentiment_lag1_rdm,BEL,1,0.10927056656813328
net_sentiment_lag1_rdm,BEL,2,0.017591358900650955
net_sentiment_lag1_rdm,CHE,1,0.24164552940654593
net_sentiment_lag1_rdm,CHE,2,0.5121996909715901
net_sentiment_lag1_rdm,DEU,1,0.03147935828826333
net_sentiment_lag1_rdm,DEU,2,0.006803048976289074
net_sentiment_lag1_rdm,DNK,1,0.002526300199515042
net_sentiment_lag1_rdm,DNK,2,0.020826885210508427
net_sentiment_lag1_rdm,ESP,1,0.8978570074195155
net_sentiment_lag1_rdm,ESP,2,0.09888550265074213
net_sentiment_lag1_rdm,FRA,1,0.6558893096225733
net_sentiment_lag1_rdm,FRA,2,0.7211067492650443
net_sentiment_lag1_rdm,GBR,1,0.8100613383590456
net_sentiment_lag1_rdm,GBR,2,0.981032940986854
net_sentiment_lag1_rdm,IRL,1,0.9534895645650178
net_sentiment_lag1_rdm,IRL,2,0.9991484847932539
net_sentiment_lag1_rdm,ITA,1,0.9345805490447406
net_sentiment_lag1_rdm,ITA,2,0.7951608189397225
net_sentiment_lag1_rdm,NLD,1,0.2833744581915553
net_sentiment_lag1_rdm,NLD,2,0.5618089642105092
net_sentiment_lag1_rdm,PRT,1,0.969572784608027
net_sentiment_lag1_rdm,PRT,2,0.895991459605666
net_sentiment_lag1_rdm,SWE,1,0.6734832929274074
net_sentiment_lag1_rdm,SWE,2,0.5291679219230924
net_sentiment_lag1_rdm,USA,1,0.3352529482072902
net_sentiment_lag1_rdm,USA,2,0.38645652715868684
