tloans_gr,tmort_gr,money_gr,ca_gr,tloans_rgdp_gr,cpi,rgdpmad,net_sentiment_dm,P_pos_dm,P_neg_dm,net_sentiment_lag1_dm,P_pos_lag1_dm,P_neg_lag1_dm,crisisjst,year,iso
0.12826355129672073,0.12706618194732866,0.09261312384672138,0.18868856860056926,0.09636230350238661,119.02710704119848,20970.89428666414,0.0007243043478260755,-0.07249408695652174,-0.07321856521739131,-0.019627695652173913,-0.04307613043478262,-0.023448608695652212,0.0,1999,AUS
0.10524102109864852,0.16946548849178744,0.049710274205628346,-0.19702654153200494,0.084202656136805,124.3326631460674,21377.823125181403,0.04407630434782608,-0.027609086956521728,-0.0716855652173913,0.003709304347826084,-0.06680913043478262,-0.07051860869565221,0.0,2000,AUS
0.10326394672037797,0.13357284532764502,0.1385420285008112,-0.4141380662281453,0.08878928844126222,129.81217191011234,21662.025668109956,-0.27335769565217394,-0.08049408695652172,0.19286243478260867,0.047061304347826086,-0.021924130434782613,-0.0689856086956522,0.0,2001,AUS
0.1539814575446512,0.15875431657763905,0.0698798240879619,0.8109512971917727,0.12414663473031373,133.76959490636705,22236.935272996816,-0.1726436956521739,0.00046491304347828777,0.17310843478260868,-0.2703726956521739,-0.0748091304347826,0.19556239130434777,0.0,2002,AUS
0.18347054016871311,0.19493488399921355,0.11881336641021933,0.4904257195761046,0.1610533518020183,137.42260074906366,22666.27778851437,-0.19102469565217392,-0.022758086956521734,0.16826643478260872,-0.1696586956521739,0.006149869565217403,0.17580839130434778,0.0,2003,AUS
0.14593516672347384,0.13213354982844905,0.09082353429503476,0.269807633091365,0.11371563489845693,140.6407249438202,23322.00788305354,-0.012299695652173918,-0.013723086956521718,-0.001422565217391314,-0.18803969565217393,-0.01707313043478262,0.17096639130434782,0.0,2004,AUS
0.13885135903475532,0.12008794782099597,0.08296493424697537,0.007359624558657574,0.11764073771304528,144.38070711610487,23764.613687385267,0.004763304347826076,-0.03262408695652172,-0.03738656521739131,-0.00931469565217391,-0.008038130434782603,0.0012773913043477858,0.0,2005,AUS
0.14101212447649747,0.10715091529910792,0.1300964890775398,0.06666570021953722,0.12524658991020599,149.51231056179776,24097.573450962896,-0.03410069565217392,-0.03490708695652173,-0.0008065652173913085,0.007748304347826085,-0.026939130434782604,-0.03468660869565221,0.0,2006,AUS
0.20244167530969515,0.12225305518005003,0.22681184666273202,0.24780530708562454,0.16315099529322485,153.03485191011234,24911.57786781549,0.08336130434782607,0.031146913043478275,-0.05221556521739129,-0.03111569565217391,-0.02922213043478261,0.0018933913043477912,0.0,2007,AUS
0.15523846484966652,0.17309778866655678,0.16369985285010924,-0.23584724022289516,0.14118758264460896,159.68854112359548,25218.3018906546,-0.10091369565217392,-0.027354086956521723,0.0735584347826087,0.08634630434782609,0.03683186956521739,-0.04951560869565219,0.0,2008,AUS
