year,iso,P_pos,P_neg,P_neutral,n_speeches,net_sentiment
2004,FIN,0.339771,0.132796,0.527433,3,0.206975
2004,FRA,0.093254,0.094647,0.812099,1,-0.001393
2004,GBR,0.141595,0.141546,0.716859,10,4.9e-05
2004,ITA,0.321485,0.130425,0.54809,7,0.19106
2004,JPN,0.379602,0.177167,0.443231,17,0.202435
2004,NLD,0.252815,0.169643,0.577542,3,0.083172
2004,NOR,0.227644,0.344763,0.427593,13,-0.117119
2004,PRT,0.352836,0.105756,0.541409,1,0.24708
2004,SWE,0.17437,0.26786,0.557769,17,-0.09349
2004,USA,0.239452,0.212794,0.547754,88,0.026658
2005,AUS,0.178847,0.22918,0.591973,10,-0.050332
2005,BEL,0.101461,0.031313,0.867226,1,0.070148
2005,CAN,0.245367,0.193949,0.560683,23,0.051418
2005,CHE,0.302646,0.212204,0.48515,26,0.090442
2005,DEU,0.149204,0.065019,0.785777,12,0.084185
2005,DNK,0.276726,0.134302,0.588972,2,0.142425
2005,ESP,0.221135,0.024673,0.754192,8,0.196462
2005,FIN,0.2963,0.115107,0.588592,2,0.181193
2005,FRA,0.254024,0.083011,0.662964,2,0.171013
2005,GBR,0.144967,0.204399,0.650634,8,-0.059432
2005,ITA,0.280473,0.278293,0.441234,3,0.00218
2005,JPN,0.411817,0.173147,0.415036,16,0.23867
2005,NLD,0.180958,0.111388,0.707654,4,0.069571
2005,NOR,0.252432,0.294204,0.453364,15,-0.041772
2005,SWE,0.196367,0.312339,0.491293,19,-0.115972
2005,USA,0.21351,0.19044,0.596051,78,0.02307
2006,AUS,0.176564,0.26576,0.557676,6,-0.089196
2006,BEL,0.178874,0.0352,0.785925,3,0.143674
2006,CAN,0.302182,0.196291,0.501528,19,0.105891
2006,CHE,0.346109,0.065203,0.588688,25,0.280906
2006,DEU,0.179576,0.070921,0.749502,12,0.108655
2006,DNK,0.349151,0.108793,0.542056,2,0.240358
2006,ESP,0.341083,0.050031,0.608886,10,0.291052
2006,FIN,0.189303,0.115761,0.694936,6,0.073542
2006,FRA,0.165107,0.046195,0.788698,4,0.118912
2006,GBR,0.160889,0.168004,0.671108,14,-0.007115
2006,ITA,0.225945,0.15344,0.620616,6,0.072505
2006,JPN,0.427855,0.146211,0.425934,11,0.281644
2006,NLD,0.15361,0.089368,0.757022,3,0.064242
2006,NOR,0.315583,0.196029,0.488387,12,0.119554
2006,PRT,,,,0,
2006,SWE,0.152889,0.198596,0.648514,24,-0.045707
2006,USA,0.245311,0.177932,0.576757,80,0.06738
2007,AUS,0.242618,0.214351,0.543032,8,0.028266
2007,BEL,0.388223,0.04559,0.566187,5,0.342632
2007,CAN,0.265564,0.207499,0.526937,25,0.058065
2007,CHE,0.277667,0.197923,0.524409,25,0.079744
2007,DEU,0.241957,0.080404,0.677639,10,0.161553
2007,DNK,0.178711,0.389596,0.431693,6,-0.210885
2007,ESP,0.400728,0.139156,0.460116,6,0.261571
2007,FIN,0.326224,0.041248,0.632528,4,0.284977
2007,FRA,0.252152,0.121364,0.626484,19,0.130787
2007,GBR,0.171368,0.191647,0.636984,13,-0.020279
2007,ITA,0.197767,0.112292,0.689941,6,0.085474
2007,JPN,0.376167,0.145696,0.478136,13,0.230471
2007,NLD,0.232277,0.076609,0.691114,7,0.155668
2007,NOR,0.295036,0.32535,0.379613,10,-0.030314
2007,SWE,0.116647,0.17067,0.712683,12,-0.054024
2007,USA,0.185515,0.176493,0.637992,71,0.009022
2008,AUS,0.184117,0.340125,0.475758,12,-0.156009
2008,BEL,0.379156,0.046306,0.574538,2,0.332849
2008,CAN,0.218354,0.298698,0.482947,18,-0.080344
2008,CHE,0.347593,0.244017,0.40839,27,0.103576
2008,DEU,0.17559,0.143446,0.680964,14,0.032144
2008,DNK,0.179278,0.370885,0.449838,3,-0.191607
2008,ESP,0.281416,0.288842,0.429742,3,-0.007425
2008,FIN,0.218973,0.135122,0.645905,5,0.083851
2008,FRA,0.224779,0.134591,0.640629,20,0.090188
2008,GBR,0.144645,0.298587,0.556768,15,-0.153942
2008,ITA,0.260984,0.10759,0.631426,6,0.153394
2008,JPN,0.171322,0.293423,0.535254,16,-0.122101
2008,NLD,0.179217,0.10324,0.717543,11,0.075977
2008,NOR,0.228692,0.211486,0.559822,9,0.017206
2008,SWE,0.106978,0.256063,0.636958,19,-0.149085
2008,USA,0.228924,0.223474,0.547602,66,0.00545
2009,AUS,0.237499,0.326129,0.436371,15,-0.08863
2009,BEL,0.322018,0.069449,0.608532,3,0.252569
2009,CAN,0.295136,0.278736,0.426128,18,0.016399
2009,CHE,0.337336,0.202697,0.459967,22,0.134638
2009,DEU,0.173648,0.076931,0.749421,12,0.096718
2009,DNK,0.150986,0.406657,0.442358,2,-0.255671
2009,ESP,0.228455,0.297956,0.473588,6,-0.069501
2009,FIN,0.418201,0.01915,0.562649,1,0.399051
2009,FRA,0.158786,0.06913,0.772084,12,0.089656
2009,GBR,0.143049,0.301487,0.555464,17,-0.158439
2009,ITA,0.262458,0.10029,0.637252,16,0.162168
2009,JPN,0.151183,0.210604,0.638213,16,-0.059421
2009,NLD,0.170594,0.039718,0.789688,9,0.130876
2009,NOR,0.183328,0.37434,0.442331,10,-0.191012
2009,SWE,0.105263,0.311926,0.582811,13,-0.206662
2009,USA,0.19762,0.229073,0.573307,58,-0.031453
2010,AUS,0.305607,0.226426,0.467967,24,0.079182
2010,BEL,0.242856,0.032328,0.724816,3,0.210528
2010,CAN,0.295318,0.276357,0.428325,13,0.018961
2010,CHE,0.240147,0.158046,0.601807,16,0.082102
2010,DEU,0.234662,0.099017,0.666321,14,0.135645
2010,DNK,0.162962,0.320282,0.516756,4,-0.15732
2010,ESP,0.189252,0.184359,0.626389,9,0.004892
2010,FIN,0.175574,0.213304,0.611121,2,-0.03773
2010,FRA,0.187082,0.126089,0.68683,10,0.060993
2010,GBR,0.17936,0.260693,0.559947,18,-0.081333
2010,IRL,0.213797,0.20953,0.576673,5,0.004267
2010,ITA,0.234233,0.128277,0.637489,10,0.105956
2010,JPN,0.238557,0.289696,0.471746,24,-0.051139
2010,NLD,0.20838,0.198146,0.593474,5,0.010235
2010,NOR,0.196559,0.209512,0.593929,12,-0.012953
2010,PRT,0.130155,0.122,0.747845,2,0.008155
2010,SWE,0.10715,0.294184,0.598665,17,-0.187034
2010,USA,0.201392,0.21467,0.583938,74,-0.013278
2011,AUS,0.221366,0.289067,0.489567,30,-0.0677
2011,BEL,0.294634,0.106475,0.598892,1,0.188159
2011,CAN,0.307815,0.2367,0.455485,22,0.071115
2011,CHE,0.215148,0.311302,0.47355,14,-0.096154
2011,DEU,0.217624,0.107277,0.675099,23,0.110348
2011,DNK,0.295045,0.3143,0.390655,4,-0.019255
2011,ESP,0.29025,0.144005,0.565745,7,0.146245
2011,FIN,0.319648,0.141367,0.538985,4,0.17828
2011,FRA,0.2622,0.129634,0.608166,14,0.132566
2011,GBR,0.162206,0.239842,0.597952,19,-0.077636
2011,IRL,0.331343,0.122208,0.546448,8,0.209135
2011,ITA,0.213293,0.103648,0.683059,12,0.109645
2011,JPN,0.223952,0.275999,0.500049,25,-0.052047
2011,NLD,0.137804,0.060709,0.801488,5,0.077095
2011,NOR,0.223433,0.197056,0.579511,6,0.026377
2011,PRT,0.374351,0.027267,0.598382,2,0.347084
2011,SWE,0.136221,0.259679,0.6041,15,-0.123459
2011,USA,0.191835,0.270628,0.537537,80,-0.078794
2012,AUS,0.180997,0.217672,0.601331,20,-0.036675
2012,CAN,0.276815,0.244625,0.47856,22,0.03219
2012,CHE,0.187992,0.218446,0.593562,15,-0.030455
2012,DEU,0.182342,0.114107,0.703551,29,0.068235
2012,DNK,0.199717,0.325505,0.474778,4,-0.125788
2012,ESP,0.2493,0.17669,0.57401,8,0.072611
2012,FIN,0.165296,0.170507,0.664197,6,-0.005211
2012,FRA,0.243079,0.14605,0.610872,12,0.097029
2012,GBR,0.116191,0.167848,0.715961,14,-0.051657
2012,IRL,0.179795,0.193992,0.626212,16,-0.014197
2012,ITA,0.22697,0.279257,0.493774,5,-0.052287
2012,JPN,0.244187,0.19557,0.560243,28,0.048617
2012,NLD,0.25996,0.153725,0.586316,5,0.106235
2012,NOR,0.199927,0.213278,0.586795,8,-0.013351
2012,PRT,0.201111,0.200791,0.598099,3,0.00032
2012,SWE,0.149453,0.301698,0.548849,10,-0.152244
2012,USA,0.183295,0.245959,0.570745,61,-0.062664
2013,AUS,0.246948,0.153876,0.599175,17,0.093072
2013,CAN,0.333926,0.210465,0.455608,22,0.123461
2013,CHE,0.351087,0.151664,0.497249,13,0.199422
2013,DEU,0.18738,0.105353,0.707267,49,0.082027
2013,DNK,0.271363,0.305581,0.423056,5,-0.034219
2013,ESP,0.268129,0.115435,0.616436,16,0.152694
2013,FIN,0.153753,0.105541,0.740706,9,0.048213
2013,FRA,0.332027,0.104863,0.56311,10,0.227164
2013,GBR,0.173725,0.154839,0.671436,25,0.018886
2013,IRL,0.185111,0.134834,0.680055,16,0.050277
2013,ITA,0.265783,0.15116,0.583058,11,0.114623
2013,JPN,0.366063,0.145536,0.4884,27,0.220527
2013,NLD,0.11455,0.117133,0.768317,4,-0.002583
2013,NOR,0.237593,0.11486,0.647547,8,0.122733
2013,PRT,0.383709,0.14389,0.4724,2,0.239818
2013,SWE,0.142103,0.160373,0.697525,7,-0.01827
2013,USA,0.227356,0.181401,0.591244,68,0.045955
2014,AUS,0.269949,0.262361,0.46769,21,0.007588
2014,CAN,0.292523,0.2029,0.504577,17,0.089622
2014,CHE,0.240249,0.207692,0.552059,10,0.032557
2014,DEU,0.20818,0.115324,0.676495,44,0.092856
2014,DNK,0.208561,0.229823,0.561616,6,-0.021262
2014,ESP,0.292588,0.106967,0.600444,14,0.185621
2014,FIN,0.170358,0.095616,0.734026,14,0.074742
2014,FRA,0.332469,0.120519,0.547013,10,0.21195
2014,GBR,0.187125,0.220072,0.592802,21,-0.032947
2014,IRL,0.172361,0.153156,0.674483,6,0.019205
2014,ITA,0.184988,0.229547,0.585465,9,-0.044559
2014,JPN,0.325074,0.19507,0.479857,31,0.130004
2014,NLD,0.31727,0.101359,0.58137,4,0.215912
2014,NOR,0.143017,0.154602,0.702381,5,-0.011586
2014,PRT,0.147722,0.124669,0.727609,3,0.023053
2014,SWE,0.118035,0.257754,0.624211,6,-0.139719
2014,USA,0.167395,0.173683,0.658922,92,-0.006289
2015,AUS,0.252248,0.21013,0.537622,28,0.042119
2015,BEL,0.131023,0.019401,0.849577,1,0.111622
2015,CAN,0.29087,0.242822,0.466308,17,0.048048
2015,CHE,0.251769,0.31733,0.4309,16,-0.065561
2015,DEU,0.192,0.115726,0.692274,43,0.076274
2015,DNK,0.187304,0.337832,0.474864,2,-0.150528
2015,ESP,0.461013,0.203499,0.335488,9,0.257513
2015,FIN,0.208702,0.119854,0.671444,12,0.088848
2015,FRA,0.170528,0.053839,0.775633,10,0.116688
2015,GBR,0.170445,0.123236,0.706319,31,0.047209
2015,IRL,0.150943,0.226231,0.622826,12,-0.075289
2015,ITA,0.317592,0.12872,0.553688,13,0.188872
2015,JPN,0.290011,0.20759,0.502399,21,0.082421
2015,NLD,0.25454,0.024634,0.720826,2,0.229905
2015,NOR,0.19505,0.175602,0.629348,6,0.019448
2015,PRT,0.191509,0.03618,0.772311,1,0.155329
2015,SWE,0.127305,0.172095,0.7006,9,-0.04479
2015,USA,0.183019,0.196511,0.62047,75,-0.013493
2016,AUS,0.216589,0.23193,0.551481,21,-0.01534
2016,CAN,0.240833,0.282778,0.476389,24,-0.041946
2016,CHE,0.27618,0.205205,0.518615,9,0.070975
2016,DEU,0.178449,0.146539,0.675012,44,0.031911
2016,DNK,0.238639,0.141555,0.619806,3,0.097085
2016,ESP,0.281367,0.134644,0.583989,11,0.146723
2016,FIN,0.182308,0.138015,0.679677,8,0.044293
2016,FRA,0.299167,0.099238,0.601595,25,0.19993
2016,GBR,0.145605,0.131469,0.722926,23,0.014136
2016,IRL,0.243702,0.142147,0.614152,15,0.101555
2016,ITA,0.244394,0.20053,0.555076,16,0.043864
2016,JPN,0.266275,0.21819,0.515535,25,0.048084
2016,NLD,0.305536,0.08938,0.605084,2,0.216156
2016,NOR,0.128587,0.262241,0.609172,8,-0.133654
2016,PRT,0.056752,0.342995,0.600253,1,-0.286243
2016,SWE,0.117402,0.278039,0.604559,3,-0.160637
2016,USA,0.18536,0.222236,0.592405,60,-0.036876
2017,AUS,0.22573,0.15701,0.61726,29,0.068721
2017,BEL,0.336047,0.011044,0.652909,1,0.325003
2017,CAN,0.284654,0.186566,0.528781,24,0.098088
2017,CHE,0.327162,0.145046,0.527793,12,0.182116
2017,DEU,0.168616,0.109668,0.721716,58,0.058948
2017,DNK,0.150898,0.113748,0.735355,6,0.03715
2017,ESP,0.282095,0.126206,0.591699,15,0.15589
2017,FIN,0.111815,0.079591,0.808594,5,0.032224
2017,FRA,0.267427,0.090719,0.641854,29,0.176708
2017,GBR,0.174492,0.112176,0.713331,20,0.062316
2017,IRL,0.195934,0.089172,0.714895,20,0.106762
2017,ITA,0.22943,0.209295,0.561275,9,0.020135
2017,JPN,0.292348,0.137686,0.569966,26,0.154662
2017,NLD,0.203167,0.084519,0.712315,13,0.118648
2017,NOR,0.24671,0.145236,0.608055,7,0.101474
2017,PRT,0.198447,0.080033,0.72152,10,0.118413
2017,SWE,0.074279,0.208765,0.716957,4,-0.134486
2017,USA,0.197608,0.158729,0.643662,58,0.038879
2018,AUS,0.224384,0.178201,0.597415,32,0.046183
2018,BEL,0.16686,0.175719,0.65742,4,-0.008859
2018,CAN,0.24678,0.157688,0.595532,26,0.089093
2018,CHE,0.230693,0.096396,0.672911,9,0.134297
2018,DEU,0.187004,0.103833,0.709163,46,0.08317
2018,DNK,0.222281,0.086009,0.69171,7,0.136272
2018,ESP,0.277681,0.096651,0.625668,16,0.18103
2018,FIN,0.182094,0.128749,0.689157,9,0.053345
2018,FRA,0.307829,0.049074,0.643097,24,0.258755
2018,GBR,0.208284,0.106245,0.685471,26,0.102039
2018,IRL,0.256902,0.101591,0.641507,16,0.155311
2018,ITA,0.194974,0.145613,0.659413,19,0.049361
2018,JPN,0.363816,0.157524,0.478659,18,0.206292
2018,NLD,0.205972,0.056805,0.737223,6,0.149167
2018,NOR,0.196476,0.17016,0.633363,7,0.026316
2018,PRT,0.159801,0.077997,0.762202,10,0.081804
2018,SWE,0.118598,0.158762,0.72264,6,-0.040163
2018,USA,0.21862,0.120791,0.660589,50,0.097829
2019,AUS,0.202141,0.291458,0.506401,26,-0.089317
2019,BEL,0.366917,0.023549,0.609535,1,0.343368
2019,CAN,0.226816,0.400296,0.372888,15,-0.173481
2019,CHE,0.237106,0.122519,0.640375,11,0.114587
2019,DEU,0.145332,0.088949,0.765719,32,0.056383
2019,DNK,0.162276,0.184777,0.652947,6,-0.022501
2019,ESP,0.22243,0.152864,0.624706,25,0.069566
2019,FIN,0.277658,0.096513,0.625829,16,0.181145
2019,FRA,0.268319,0.066253,0.665428,23,0.202066
2019,GBR,0.208519,0.103126,0.688354,29,0.105393
2019,IRL,0.204755,0.084163,0.711082,22,0.120592
2019,ITA,0.220231,0.190136,0.589632,19,0.030095
2019,JPN,0.248125,0.169698,0.582176,28,0.078427
2019,NLD,0.190764,0.071694,0.737542,12,0.11907
2019,NOR,0.203056,0.133884,0.663061,8,0.069172
2019,PRT,0.296622,0.110399,0.59298,11,0.186223
2019,SWE,0.102013,0.205228,0.692758,5,-0.103215
2019,USA,0.165843,0.121135,0.713022,79,0.044708
2020,AUS,0.283308,0.309627,0.407065,18,-0.026319
2020,CAN,0.235684,0.270694,0.493623,21,-0.03501
2020,CHE,0.321618,0.229608,0.448774,10,0.092011
2020,DEU,0.238483,0.083233,0.678284,21,0.15525
2020,DNK,,,,0,
2020,ESP,0.285895,0.109675,0.60443,20,0.176219
2020,FIN,0.348895,0.085487,0.565618,7,0.263408
2020,FRA,0.28888,0.052807,0.658313,18,0.236073
2020,GBR,0.191917,0.116894,0.69119,24,0.075023
2020,IRL,0.249749,0.168027,0.582223,10,0.081722
2020,ITA,0.291726,0.207613,0.500661,17,0.084113
2020,JPN,0.259305,0.163221,0.577474,16,0.096085
2020,NLD,0.23661,0.087718,0.675672,14,0.148893
2020,NOR,0.271156,0.141822,0.587022,3,0.129333
2020,PRT,0.261504,0.037545,0.700951,5,0.223959
2020,SWE,0.107913,0.212966,0.679121,3,-0.105053
2020,USA,0.209843,0.15184,0.638317,67,0.058003
