url,year,date,author,description,P_pos,P_neg,P_neutral,topics,n_topics
https://www.bis.org/review/r091209d.pdf,2009,2009-11-05 00:00:00,Jens Thomsen,"Speech by Mr Jens Thomsen, Member of the Board of Governors of the National Bank of Denmark, at the European Government Bond Summit, Brussels, 5 November 2009.",0.814926,0.094897,0.090177,['sovereign'],1
https://www.bis.org/review/r091014c.pdf,2009,2009-10-13 00:00:00,Patrick Honohan,"Opening address by Mr Patrick Honohan, Governor of the Central Bank and Financial Services Authority of Ireland, at the ESRI / Foundation for Fiscal Studies Budget Perspectives Conference, Dublin, 13 October 2009.",0.262313,0.35,0.387686,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r090708e.pdf,2009,2009-04-29 00:00:00,Shyamala Gopinath,"Paper by Ms Shyamala Gopinath, Deputy Governor of the Reserve Bank of India, presented at the workshop on ""Sub-national Fiscal Reform and Debt Management"", organised by the Economic Policy and Debt Department, World Bank, Washington, 29 April 2009.",0.151761,0.255364,0.592874,"['credit', 'sovereign']",2
https://www.bis.org/review/r090528e.pdf,2009,2009-05-23 00:00:00,Donald L Kohn,"Speech by Mr Donald L Kohn, Vice Chairman of the Board of Governors of the US Federal Reserve System, at the Conference on Monetary-Fiscal Policy Interactions, Expectations, and Dynamics in the Current Economic Crisis, Princeton University, 23 May 2009.",0.297421,0.099479,0.6031,['sovereign'],1
https://www.bis.org/review/r101103b.pdf,2010,2010-10-21 00:00:00,José de Gregorio,"Opening remarks by Mr Jose De Gregorio, Governor of the Central Bank of Chile, to the 14th Annual Conference of the Central Bank of Chile ""Fiscal policy and macroeconomic performance"", Santiago de Chile, 21 October 2010.",0.254676,0.027278,0.718046,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r100723f.pdf,2010,2010-07-09 00:00:00,Budi Mulya,"Address by Mr Budi Mulya, Deputy Governor of Bank Indonesia, at the Oversea-Chinese Banking Corporation (OCBC) Global Treasury Economic and Business Forum, Singapore, 9 July 2010.",0.721337,0.018853,0.25981,"['sovereign', 'corporate']",2
https://www.bis.org/review/r100429a.pdf,2010,2010-04-27 00:00:00,Ben S Bernanke,"Speech by Mr Ben S Bernanke, Chairman of the Board of Governors of the Federal Reserve System, at the National Commission on Fiscal Responsibility and Reform, Washington DC, 27 April 2010.",0.164613,0.47978,0.355607,['sovereign'],1
https://www.bis.org/review/r100423a.pdf,2010,2010-04-21 00:00:00,Ben S Bernanke,"Brief remarks by Mr Ben S Bernanke, Chairman of the Board of Governors of the Federal Reserve System, at the New $100 Note Unveiling Event, US Treasury Department, Washington DC, 21 April 2010.",0.204265,0.011495,0.78424,['sovereign'],1
https://www.bis.org/review/r111025b.pdf,2011,2011-10-24 00:00:00,Yves Mersch,"Speech by Mr Yves Mersch, Governor of the Central Bank of Luxembourg, at the SWF (Sovereign Wealth Fund) Forum, Montreux, Switzerland, 24 October 2011.",0.122386,0.203259,0.674355,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r111021c.pdf,2011,2011-10-19 00:00:00,Guy Debelle,"Address by Mr Guy Debelle, Assistant Governor (Financial Markets) of the Reserve Bank of Australia, to the 24th Annual Finance &amp;amp; Treasury Association Congress, Sydney, 19 October 2011.",0.313808,0.312508,0.373684,['sovereign'],1
https://www.bis.org/review/r110928c.pdf,2011,2011-09-26 00:00:00,Narayana Kocherlakota,"Speech by Mr Narayana Kocherlakota, President of the Federal Reserve Bank of Minneapolis, at the Sovereign Debt Seminar, CME Group-MSRI Prize in Innovative Quantitative Applications, Chicago, Illinois, 26 September 2011.",0.059741,0.090708,0.849551,"['credit', 'sovereign']",2
https://www.bis.org/review/r110621c.pdf,2011,2011-06-17 00:00:00,Lorenzo Bini Smaghi,"Intervention by Mr Lorenzo Bini Smaghi, Member of the Executive Board of the European Central Bank, in the panel ""Challenges for monetary and fiscal policy"", at the Sveriges Riksbank conference ""Monetary policy in an era of fiscal stress"", Stockholm, 17 June 2011.",0.232869,0.265796,0.501336,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r110523a.pdf,2011,2011-05-20 00:00:00,Jens Weidmann,"Concluding remarks by Dr Jens Weidmann, President of the Deutsche Bundesbank, at the Bank of France/Deutsche Bundesbank Spring Conference on ""Fiscal and Monetary Policy Challenges in the Short and Long Run"", Hamburg, 20 May 2011.",0.172909,0.089361,0.737729,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r110519d.pdf,2011,2011-05-18 00:00:00,Emmanuel Tumusiime-Mutebile,"Speech by Mr Emmanuel Tumusiime-Mutebile, Governor of Bank of Uganda, at the Bank of Uganda/Uganda Securities Exchange Workshop on reforming the government debt market, Kampala, 18 May 2011.",0.346434,0.040867,0.612699,"['credit', 'sovereign']",2
https://www.bis.org/review/r121016f.pdf,2012,2012-10-12 00:00:00,Norman T L Chan,"Address by Mr Norman T L Chan, Chief Executive of the Hong Kong Monetary Authority, at the Treasury Markets Summit 2012, Hong Kong, 12 October 2012.",0.128786,0.060408,0.810806,['sovereign'],1
https://www.bis.org/review/r121011j.pdf,2012,2012-10-03 00:00:00,Njuguna Ndung'u,"Remarks by Prof Njuguna Ndung'u, Governor of the Central Bank of Kenya, at the launch of the FTSE-NSE Kenya Government Bonds Index, Nairobi, 3 October 2012.",0.848542,0.008668,0.142791,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r120829b.pdf,2012,2012-08-23 00:00:00,"Amando M Tetangco, Jr","Keynote remarks by Mr Amando M Tetangco, Jr, Governor of Bangko Sentral ng Pilipinas (the central bank of the Philippines), at the FinanceAsia 4th Annual Corporate Treasury &amp;amp; CFO Summit, Manila 23 August 2012.",0.243704,0.248707,0.507588,"['monetary_policy', 'sovereign', 'corporate']",3
https://www.bis.org/review/r120712b.pdf,2012,2012-04-19 00:00:00,Dimiter Kostov,"Address by Mr Dimiter Kostov, Deputy Governor of the Bulgarian National Bank, Banking Department and Fiscal Services Department, before the participants in the 14th Financial IT Forum ""The World of Finance is Becoming More IT"", Sofia, 19 April 2012.",0.484577,0.014012,0.501411,['sovereign'],1
https://www.bis.org/review/r120629a.pdf,2012,2012-06-29 00:00:00,Benoît Cœuré,"Speech by Mr Benoît Cœuré, Member of the Executive Board of the European Central Bank, at the 12th IMF Annual Forum on Managing Sovereign Risk and Public Debt: ""Managing Sovereign Debt: A Seismic Shift in demand and Supply Dynamics?"", Rio de Janeiro, 28-29 June 2012.",0.143361,0.286651,0.569988,"['credit', 'monetary_policy', 'sovereign']",3
https://www.bis.org/review/r120215b.pdf,2012,2012-02-09 00:00:00,Nils Bernstein,"Speech by Mr Nils Bernstein, Governor of the National Bank of Denmark, at the hearing on the fiscal compact conducted by the European Affairs Committee of the Danish Parliament, Copenhagen, 9 February 2012.",0.164006,0.169236,0.666757,['sovereign'],1
https://www.bis.org/review/r130715c.pdf,2013,2013-07-10 00:00:00,Benoît Cœuré,"Speech by Mr Benoît Cœuré, Member of the Executive Board of the European Central Bank, at the International Monetary Seminar ""Sovereign Risk, Bank Risk and Central Banking"" organised by the Banque de France, Paris, 10 July 2013.",0.113069,0.280853,0.606079,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r130312h.pdf,2013,2013-03-07 00:00:00,Daniel Mminele,"Address by Mr Daniel Mminele, Deputy Governor of the South African Reserve Bank, at the Institutional Investor, Africa Sovereign Funds Roundtable, Cape Town, 7 March 2013.",0.168682,0.03148,0.799838,['sovereign'],1
https://www.bis.org/review/r130122b.pdf,2013,2013-01-09 00:00:00,Már Guðmundsson,"Remarks by Mr Már Guðmundsson, Governor of the Central Bank of Iceland, in a policy panel at a seminar on ""Sovereign risk - a world without risk-free assets?"", Bank for International Settlements, Basel, 8-9 January 2013.",0.092701,0.35484,0.55246,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r130109a.pdf,2013,2013-01-08 00:00:00,Patrick Honohan,"Panel comments by Mr Patrick Honohan, Governor of the Central Bank of Ireland, at the BIS Conference on ""Sovereign risk - a world without risk-free assets"", Basel, 8 January 2013.",0.125256,0.276018,0.598726,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r141208e.htm,2014,2014-12-03 00:00:00,Lael Brainard,"Speech by Ms Lael Brainard, Member of the Board of Governors of the Federal Reserve System, at the Hutchins Center on Fiscal and Monetary Policy, The Brookings Institution, Washington DC, 3 December 2014.",0.103186,0.053174,0.84364,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r141114e.htm,2014,2014-11-06 00:00:00,Ravi Menon,"Speech by Mr Ravi Menon, Managing Director of the Monetary Authority of Singapore, at the Sovereign Investor Institute Government Funds Roundtable, Singapore, 6 November 2014.",0.322727,0.186234,0.491039,['sovereign'],1
https://www.bis.org/review/r141104e.htm,2014,2014-09-30 00:00:00,Jerome H Powell,"Speech by Mr Jerome H Powell, Member of the Board of Governors of the Federal Reserve System, at the Panel Discussion on ""Debt Management in an Era of Quantitative Easing: What Should the Treasury and the Fed Do?"", Washington, DC, 30 September 2014.",0.104446,0.168465,0.727089,"['credit', 'monetary_policy', 'sovereign']",3
https://www.bis.org/review/r140916d.pdf,2014,2014-09-15 00:00:00,Norman T L Chan,"Speech by Mr Norman T L Chan, Chief Executive of the Hong Kong Monetary Authority, at the Treasury Markets Summit 2014, Hong Kong, 15 September 2014.",0.374495,0.011342,0.614164,['sovereign'],1
https://www.bis.org/review/r151201a.htm,2015,2015-11-13 00:00:00,Ewald Nowotny,"Opening remarks by Prof Dr Ewald Nowotny, Governor of the Central Bank of the Republic of Austria, at the Seminar on the IMF s Regional Economic Issues Report ""CESEE Outlook: Reconciling Fiscal Consolidation and Growth"", Vienna, 13 November 2015.",0.228867,0.023358,0.747775,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r151126b.htm,2015,2015-11-20 00:00:00,Jerome H Powell,"Opening remarks by Mr Jerome H Powell, Member of the Board of Governors of the Federal Reserve System, at the 2015 Roundtable on ""Treasury Markets and Debt Management: Evolution of Treasury Market and Its Implications"", New York City, 20 November 2015.",0.144808,0.037166,0.818026,"['credit', 'sovereign']",2
https://www.bis.org/review/r151123d.pdf,2015,2015-11-19 00:00:00,Simon M Potter,"Remarks by Mr Simon M Potter, Executive Vice President of the Markets Group of the Federal Reserve Bank of New York, at the 2015 Roundtable on Treasury Markets and Debt Management, Federal Reserve Bank of New York, New York City, 19 November 2015.",0.152827,0.060237,0.786936,"['credit', 'sovereign']",2
https://www.bis.org/review/r151026d.htm,2015,2015-11-20 00:00:00,William C Dudley,"Welcoming remarks by Mr William C Dudley, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the evolving structure of the US treasury market conference, Federal Reserve Bank of New York, New York City, 20 November 2015.",0.141441,0.01686,0.8417,['sovereign'],1
https://www.bis.org/review/r150504b.htm,2015,2015-04-30 00:00:00,Peter Pang,"Speech by Mr Peter Pang, Deputy Chief Executive of the Hong Kong Monetary Authority, at the Asia Treasury Trailblazer Summit 2015, Hong Kong, 30 April 2015.",0.564871,0.017934,0.417195,['sovereign'],1
https://www.bis.org/review/r150409h.htm,2015,2015-04-09 00:00:00,Patrick Honohan,"Remarks by Mr Patrick Honohan, Governor of the Central Bank of Ireland, prepared for the session ""Politics by Other Means? Eurozone Institutions and National Sovereignty in the Bank Bailout Negotiations"" at the INET Annual Conference ""Liberté, égalité, fragilité"", Paris, 9 April 2015.",0.209051,0.313631,0.477319,"['monetary_policy', 'sovereign']",2
https://www.bis.org/review/r150302d.htm,2015,2015-02-25 00:00:00,Gurumoorthy Mahalingam,"Keynote address by Mr Gurumoorthy Mahalingam, Executive Director of the Reserve Bank of India, at the India Treasury Summit, Mumbai, 25 February 2015.",0.429384,0.146917,0.423699,['sovereign'],1
